chunk_id,doc_id,title,category,chunk_index,total_chunks,tokens_count,has_code,has_tables,is_code_block,chunk_type,is_complete_code,url,source_hash,chunk_preview
305b47f0953207ce_code_0007,doc_0008,"Инференс на собственных изображениях с использованием модели CNN, обученной на MNIST, на основе Notebooks (код)",Notebooks,8,9,11,True,False,True,code,True,https://cloud.ru/docs/tutorials-evolution/list/topics/notebooks__cv-cnn?source-platform=Evolution,305b47f0953207ce,"КОНТЕКСТ ИСПОЛЬЗОВАНИЯ:
Инференс на собственных изображениях с использованием модели CNN, обученной на MNIST, на основе Notebooks
С помощью этого руко..."
867ecebc7e08f880_0000,doc_0009,Создание Telegram-бота для поиска информации из Jira на основе Notebooks,Notebooks,0,2,859,True,False,False,text,False,https://cloud.ru/docs/tutorials-evolution/list/topics/notebooks__low-code-rag?source-platform=Evolution,867ecebc7e08f880,"Создание Telegram-бота для поиска информации из Jira на основе Notebooks
С помощью этого руководства вы настроите парсинг Jira, создадите базу знаний ..."
867ecebc7e08f880_code_0000,doc_0009,Создание Telegram-бота для поиска информации из Jira на основе Notebooks (код),Notebooks,1,2,95,True,False,True,code,True,https://cloud.ru/docs/tutorials-evolution/list/topics/notebooks__low-code-rag?source-platform=Evolution,867ecebc7e08f880,"КОНТЕКСТ ИСПОЛЬЗОВАНИЯ:
Создание Telegram-бота для поиска информации из Jira на основе Notebooks
С помощью этого руководства вы настроите парсинг Jira..."
1ec014dabc925ec9_0000,doc_0010,Использование Managed Redis® как брокера сообщений,Базы данных,0,9,573,True,False,False,text,False,https://cloud.ru/docs/tutorials-evolution/list/topics/managed-redis__queue-broker?source-platform=Evolution,1ec014dabc925ec9,"Использование Managed Redis® как брокера сообщений
С помощью этого руководства вы сконфигурируете Managed Redis® как брокер сообщений, связав его с се..."
1ec014dabc925ec9_code_0000,doc_0010,Использование Managed Redis® как брокера сообщений (код),Базы данных,1,9,23,True,False,True,code,True,https://cloud.ru/docs/tutorials-evolution/list/topics/managed-redis__queue-broker?source-platform=Evolution,1ec014dabc925ec9,"КОНТЕКСТ ИСПОЛЬЗОВАНИЯ:
Использование Managed Redis® как брокера сообщений
С помощью этого руководства вы сконфигурируете Managed Redis® как брокер со..."
1ec014dabc925ec9_code_0001,doc_0010,Использование Managed Redis® как брокера сообщений (код),Базы данных,2,9,9,True,False,True,code,True,https://cloud.ru/docs/tutorials-evolution/list/topics/managed-redis__queue-broker?source-platform=Evolution,1ec014dabc925ec9,"КОНТЕКСТ ИСПОЛЬЗОВАНИЯ:
Использование Managed Redis® как брокера сообщений
С помощью этого руководства вы сконфигурируете Managed Redis® как брокер со..."
1ec014dabc925ec9_code_0002,doc_0010,Использование Managed Redis® как брокера сообщений (код),Базы данных,3,9,128,True,False,True,code,True,https://cloud.ru/docs/tutorials-evolution/list/topics/managed-redis__queue-broker?source-platform=Evolution,1ec014dabc925ec9,"КОНТЕКСТ ИСПОЛЬЗОВАНИЯ:
Использование Managed Redis® как брокера сообщений
С помощью этого руководства вы сконфигурируете Managed Redis® как брокер со..."
1ec014dabc925ec9_code_0003,doc_0010,Использование Managed Redis® как брокера сообщений (код),Базы данных,4,9,120,True,False,True,code,True,https://cloud.ru/docs/tutorials-evolution/list/topics/managed-redis__queue-broker?source-platform=Evolution,1ec014dabc925ec9,"КОНТЕКСТ ИСПОЛЬЗОВАНИЯ:
Использование Managed Redis® как брокера сообщений
С помощью этого руководства вы сконфигурируете Managed Redis® как брокер со..."
1ec014dabc925ec9_code_0004,doc_0010,Использование Managed Redis® как брокера сообщений (код),Базы данных,5,9,6,True,False,True,code,True,https://cloud.ru/docs/tutorials-evolution/list/topics/managed-redis__queue-broker?source-platform=Evolution,1ec014dabc925ec9,"КОНТЕКСТ ИСПОЛЬЗОВАНИЯ:
Использование Managed Redis® как брокера сообщений
С помощью этого руководства вы сконфигурируете Managed Redis® как брокер со..."
1ec014dabc925ec9_code_0005,doc_0010,Использование Managed Redis® как брокера сообщений (код),Базы данных,6,9,13,True,False,True,code,True,https://cloud.ru/docs/tutorials-evolution/list/topics/managed-redis__queue-broker?source-platform=Evolution,1ec014dabc925ec9,"КОНТЕКСТ ИСПОЛЬЗОВАНИЯ:
Использование Managed Redis® как брокера сообщений
С помощью этого руководства вы сконфигурируете Managed Redis® как брокер со..."
